GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSG00000284057	1.6832493040234486	0.14877423063166242	0.1657828111844431	0.8974044387879414	0.36950314484418306	1	FALSE
ENSG00000284070	0.5362632712331845	-0.002212171918515202	0.28402392020592176	-0.0077886817311420215	0.9937855939291138	1	FALSE
ENSG00000284084	0.16014834472725947	-0.19749057543151277	0.5503257919513337	-0.3588612024365691	0.7196989249439075	1	FALSE
ENSG00000284095	0.4571061657204205	0.12683078567850758	0.30194540130152703	0.4200454291796037	0.674452266846004	1	FALSE
ENSG00000284116	1.9028805754135212	-0.16646886834817598	0.14944055479422547	-1.1139470713113848	0.26530189393380776	1	FALSE
ENSG00000284154	0.44735922188265026	0.18632335952367887	0.2958101297699464	0.6298748446126028	0.5287764723683903	1	FALSE
ENSG00000284196	3.2199730121081873	0.02873265800439645	0.1148513530171208	0.2501725687124757	0.8024538978753697	1	FALSE
ENSG00000284237	0.8094421611181098	0.09518549964910526	0.23061989254815882	0.41273759430456897	0.6797988778640316	1	FALSE
ENSG00000284240	0.775453139969479	0.12207215918504817	0.2364969538499136	0.5161679979291318	0.6057370793979026	1	FALSE
ENSG00000284266	0.050482187419060597	0.11036635601027131	1.4946432376883454	0.07384127076436436	0.9411366873230302	1	FALSE
ENSG00000284283	0.09125580882092733	0.21895652446964012	0.9199382067512888	0.23801220871440165	0.8118716250898819	1	FALSE
ENSG00000284292	1.8067976717019036	-0.13102719452305187	0.15348990551062633	-0.8536534965420294	0.39329700782060006	1	FALSE
ENSG00000284294	3.502837526747491	0.011554104892962417	0.1102319902671632	0.10481625946296869	0.9165216079341717	1	FALSE
ENSG00000284299	0.06542421135408631	-0.09439065656184638	1.2118573319808381	-0.07788924823977456	0.937916152089536	1	FALSE
ENSG00000284308	0.5306389282598137	0.24423804400240853	0.2849949672728051	0.8569907263261147	0.3914500098129548	1	FALSE
ENSG00000284337	1.0650370149606674	0.011699390598918226	0.2019595945513568	0.05792936267726146	0.9538048943542041	1	FALSE
ENSG00000284373	0.22199791382336204	-0.20788720326305427	0.3867458183493706	-0.5375292851266392	0.5909020617870409	1	FALSE
ENSG00000284376	2.2834561830045312	-0.013695986162671763	0.13652158763646433	-0.10032102907521144	0.9200894629228169	1	FALSE
ENSG00000284377	0.5698089308934816	0.5293829577892006	0.27538739407990387	1.9223209528450664	0.05456538510817281	1	FALSE
ENSG00000284391	0.060386203043035144	-0.00688499193231029	1.2932667891049918	-0.005323721284975596	0.9957523050454108	1	FALSE
ENSG00000284393	0.17447679707345892	-0.17120986558529758	0.5376498432516418	-0.3184412080357744	0.7501502843141841	1	FALSE
ENSG00000284418	0.3107175948541291	0.41187526449111367	0.31402899563230735	1.3115835487159069	0.18966068680349638	1	FALSE
ENSG00000284419	0.10008506376038918	-0.013814990995777156	0.8376605201166849	-0.016492350616993084	0.9868416045827831	1	FALSE
ENSG00000284428	3.034421165162612	0.040289939948846935	0.1183254658459627	0.3405010042495568	0.7334792666398666	1	FALSE
ENSG00000284430	0.5312138840592744	-0.02860938752213745	0.2858884595852786	-0.10007185167124057	0.920287282243045	1	FALSE
ENSG00000284431	1.0511161325042797	-0.055649101385793855	0.20433250119076496	-0.27234581410932673	0.7853561324606482	1	FALSE
ENSG00000284439	0.1054027974256826	-0.10132098522239008	0.8389946982038143	-0.12076475028901373	0.9038773709015133	1	FALSE
ENSG00000284461	1.9395032954414462	0.11049709936737862	0.14936637441253883	0.7397722533064492	0.45943819778641853	1	FALSE
